"championship_round","championship_match_id","player_id","player_nickname","player_club_name","player_match_field","player_match_score"
"2014.01","8512","68872","Marcelo Lomba","Bahia","home","-4.00"
"2014.01","8512","70874","Rhayner","Bahia","home","8.70"
"2014.01","8512","50353","Titi","Bahia","home","2.60"
"2014.01","8512","38507","Rafael Miranda","Bahia","home","-0.60"
"2014.01","8512","82502","Rafinha","Bahia","home","0.40"
"2014.01","8512","50532","Maxi Biancucchi","Bahia","home","2.50"
"2014.01","8512","68723","Demerson","Bahia","home","-1.50"
"2014.01","8512","73530","Wilson Pittoni","Bahia","home","0.00"
"2014.01","8512","88075","Jeam","Bahia","home","-0.50"
"2014.01","8512","41364","Lincoln","Bahia","home","3.40"
"2014.01","8512","84099","Anderson Talisca","Bahia","home","13.50"
"2014.01","8512","69209","Diego Macedo","Bahia","home","2.70"
"2014.01","8512","53472","Fahel","Bahia","home","-2.40"
"2014.01","8512","81031","Marquinhos Santos","Bahia","home","2.45"
"2014.01","8512","87213","Pará","Bahia","home","2.10"
"2014.01","8512","37656","Fábio","Cruzeiro","away","4.00"
"2014.01","8512","50358","Marcelo Moreno","Cruzeiro","away","7.70"
"2014.01","8512","38573","Nilton","Cruzeiro","away","5.40"
"2014.01","8512","37794","Tinga","Cruzeiro","away","-1.70"
"2014.01","8512","42145","Egídio","Cruzeiro","away","0.10"
"2014.01","8512","62136","Marcelo Oliveira","Cruzeiro","away","3.59"
"2014.01","8512","42116","Willian","Cruzeiro","away","-1.20"
"2014.01","8512","81845","Alisson","Cruzeiro","away","0.20"
"2014.01","8512","50459","Léo","Cruzeiro","away","1.90"
"2014.01","8512","81150","Mayke","Cruzeiro","away","-0.80"
"2014.01","8512","84262","Wallace","Cruzeiro","away","4.30"
"2014.01","8512","80944","Marlone","Cruzeiro","away","12.80"
"2014.01","8512","68909","Souza","Cruzeiro","away","4.70"
"2014.01","8512","37941","Borges","Cruzeiro","away","3.60"
"2014.01","8512","63058","Willian Farias","Cruzeiro","away","-1.50"
"2014.01","8513","80552","Marquinhos Pedroso","Figueirense","away","1.00"
"2014.01","8513","62971","Nirley","Figueirense","away","-7.10"
"2014.01","8513","73563","Lúcio Maranhão","Figueirense","away","1.40"
"2014.01","8513","50326","Éverton Santos","Figueirense","away","1.30"
"2014.01","8513","60780","Vinícius Eutrópio","Figueirense","away","0.64"
"2014.01","8513","68938","Giovanni Augusto","Figueirense","away","-0.50"
"2014.01","8513","72018","Tiago Volpi","Figueirense","away","8.70"
"2014.01","8513","50321","Vitor Júnior","Figueirense","away","0.20"
"2014.01","8513","78967","Dudu","Figueirense","away","3.70"
"2014.01","8513","83688","Luan","Figueirense","away","-1.10"
"2014.01","8513","38394","Thiago Heleno","Figueirense","away","-3.70"
"2014.01","8513","77529","Leandro Silva","Figueirense","away","-0.20"
"2014.01","8513","69047","Paulo Roberto","Figueirense","away","-2.00"
"2014.01","8513","36775","Marcos Assunção","Figueirense","away","2.80"
"2014.01","8513","78716","Nem","Figueirense","away","2.50"
"2014.01","8513","42499","Bruno","Fluminense","home","3.90"
"2014.01","8513","74059","Elivelton","Fluminense","home","9.60"
"2014.01","8513","37798","Rafael Sobis","Fluminense","home","12.30"
"2014.01","8513","50348","Conca","Fluminense","home","3.70"
"2014.01","8513","37627","Diguinho","Fluminense","home","2.50"
"2014.01","8513","38162","Fred","Fluminense","home","14.10"
"2014.01","8513","38451","Carlinhos","Fluminense","home","8.50"
"2014.01","8513","62128","Walter","Fluminense","home","-1.10"
"2014.01","8513","60752","Cristóvão Borges","Fluminense","home","5.79"
"2014.01","8513","38431","Diego Cavalieri","Fluminense","home","4.70"
"2014.01","8513","80949","Biro Biro","Fluminense","home","0.40"
"2014.01","8513","62047","Jean","Fluminense","home","-2.30"
"2014.01","8513","37674","Wagner","Fluminense","home","1.20"
"2014.01","8513","50417","Valencia","Fluminense","home","1.70"
"2014.01","8513","68887","Gum","Fluminense","home","4.50"
